created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Dec 02 10:27:16 +0000 2023;1730896406481912218;"Mengagumkan melihat komitmen Pak Ganjar dan Pak Mahfud MD untuk menghidupkan pariwisata daerah. Semoga keberhasilan mereka menjadi inspirasi bagi daerah lain. @Rainyrn_  GPMMD 4Ende https://t.co/aZ16Kn41Jb";0;0;0;0;in;1686240672922390529;1730896406481912218;DragonSlay49229;https://twitter.com/DragonSlay49229/status/1730896406481912218
Sat Dec 02 10:27:06 +0000 2023;1730896363381293350;"@akubolehjujurga @ArieNugr0411 @hariqosatria Trus knp yg kau bilang makin rendah pendukung Anies? Lalu pendukung Ganjar mulia? Wajar para pendukung saling kritik asal bukan main fitnah";0;1;0;0;in;1230839653495754755;1730821773258854540;kankmazaydrooze;https://twitter.com/kankmazaydrooze/status/1730896363381293350
Sat Dec 02 10:26:58 +0000 2023;1730896331718484107;"@ganjarpranowo Banyak doa dan harapan untuk pak Ganjar Mahfud pemimpin masa depan pilihan rakyat Indonesia";0;0;0;0;in;1703694094378450944;1730804230074888561;DMargoyono;https://twitter.com/DMargoyono/status/1730896331718484107
Sat Dec 02 10:26:56 +0000 2023;1730896321664651318;"@Nikmatul_Sg Dukungan dari rakyat tuh penting loh untuk membawa kemenangan dan yang jelas rakyat mendukung Ganjar Mahfud yah";0;0;0;0;in;1696728224972341248;1730795577414496430;gapunynama0;https://twitter.com/gapunynama0/status/1730896321664651318
Sat Dec 02 10:26:42 +0000 2023;1730896264727011588;"Pak Ganjar membuktikan bahwa pendidikan bukan hanya tentang mengejar gelar, tapi juga mempersiapkan generasi muda untuk sukses di karir mereka. @ndrott3  GPMMD 4Ende https://t.co/AndYBcvZen";0;0;0;0;in;1688454660859080704;1730896264727011588;ekipratama57_;https://twitter.com/ekipratama57_/status/1730896264727011588
Sat Dec 02 10:26:41 +0000 2023;1730896260088119733;"Tiba di Rote Ganjar disambut Masyarakat setempat, mulai dari Tarian-tarian hingga pemakaian pakaian adat masyarakat Rote kepada Capres No 3 Ganjar Pranowo.  Ganjar Mahfud #GanjarMahfud2024  #GanjarMahfudM3nang https://t.co/bswx32tezU";0;0;3;4;in;2658648566;1730896260088119733;X_MIADUA;https://twitter.com/X_MIADUA/status/1730896260088119733
Sat Dec 02 10:26:41 +0000 2023;1730896259756745047;"Mendukung penuh upaya Pak Ganjar dan Pak Mahfud MD untuk memajukan destinasi wisata daerah. Semoga target 30 juta wisatawan mancanegara pada 2029 dapat tercapai dengan sukses! @rifaro20  GPMMD 4Ende https://t.co/nuiz2wcoQN";0;0;0;0;in;1688365728377008128;1730896259756745047;devitaanggrni;https://twitter.com/devitaanggrni/status/1730896259756745047
Sat Dec 02 10:26:37 +0000 2023;1730896242543415458;"@detikcom Ini yang komen negatif mending baca dulu keseluruhannya, btw buat Pak Ganjar sehat selalu ❤";0;0;0;0;in;1704065835004985344;1730761198876889376;Nanadd123l;https://twitter.com/Nanadd123l/status/1730896242543415458
Sat Dec 02 10:26:25 +0000 2023;1730896193268621815;"Pendekatan Pak Ganjar yang hangat dan inklusif menciptakan ruang untuk setiap warga negara merasa dihargai. @gal_ax_y  GPMMD 4Ende https://t.co/GRwEDkH6ga";0;0;0;0;in;1683547318229032960;1730896193268621815;attar_chairil;https://twitter.com/attar_chairil/status/1730896193268621815
Sat Dec 02 10:26:21 +0000 2023;1730896177347043680;"@TeddGus Ganjar Mahfud sih gak dirugikan, yg dirugikan nilai2 Demokrasi yg selalu berlindung dibalik kata demokratis meski mengubah UU.";0;0;0;1;in;1608701793252569089;1730888639427817897;kya40697200;https://twitter.com/kya40697200/status/1730896177347043680
